intern_id,name,gender,department,city,internship_month,duration_weeks,feedback_text,rating,sentiment,would_recommend,mentor_available,work_life_balance,learning_score
INT-223,Intern_223,Male,Marketing,Lahore,Sep,22,"The experience was mixed, some mentors were good some not",3,Neutral,0,Yes,4,4
INT-224,Intern_224,Male,Finance,Islamabad,Feb,18,The training sessions were very informative and well structured,4,Positive,1,Sometimes,2,3
INT-225,Intern_225,Male,Sales,Faisalabad,Dec,7,Some days were good and some were not so productive,3,Neutral,1,Sometimes,4,3
INT-226,Intern_226,Male,Sales,Multan,Aug,16,I would not recommend this internship to anyone honestly,1,Negative,0,Yes,3,2
INT-227,Intern_227,Male,HR,Multan,Aug,22,The work environment was very stressful and unwelcoming,1,Negative,0,Sometimes,4,5
INT-228,Intern_228,Male,HR,Faisalabad,Feb,5,The work was very repetitive and I did not learn much,1,Negative,0,Yes,2,5
INT-229,Intern_229,Male,Operations,Karachi,Dec,17,"I felt ignored most of the time, no proper guidance given",2,Negative,0,No,2,5
INT-230,Intern_230,Female,Operations,Karachi,Apr,7,"No learning opportunities, just doing clerical work all day",2,Negative,0,No,1,4
INT-231,Intern_231,Female,Design,Islamabad,Nov,19,"Average internship, met some expectations but not all",3,Neutral,0,No,5,5
INT-232,Intern_232,Male,Design,Peshawar,Jul,23,My contributions were recognized which was very motivating,5,Positive,1,No,4,3
INT-233,Intern_233,Female,Engineering,Lahore,Nov,17,The tasks were challenging but very rewarding and educational,5,Positive,1,Sometimes,1,4
INT-234,Intern_234,Female,Marketing,Karachi,Apr,18,Friendly colleagues made the work environment very enjoyable,5,Positive,1,Yes,5,1
INT-235,Intern_235,Male,Operations,Multan,Apr,6,I felt valued and appreciated throughout my internship,5,Positive,1,Yes,4,5
INT-236,Intern_236,Male,HR,Islamabad,Jun,11,It was a learning experience but could have been better,3,Neutral,0,Yes,3,5
INT-237,Intern_237,Male,Finance,Lahore,Oct,19,I felt valued and appreciated throughout my internship,4,Positive,1,No,4,1
INT-238,Intern_238,Female,HR,Islamabad,Jun,13,The onboarding process was smooth and well organized,5,Positive,1,No,2,5
INT-239,Intern_239,Female,Marketing,Lahore,Oct,7,The onboarding process was smooth and well organized,5,Positive,1,Yes,2,1
INT-240,Intern_240,Male,Design,Lahore,Mar,21,I loved the collaborative culture and friendly team members,5,Positive,1,No,3,4
INT-241,Intern_241,Male,HR,Faisalabad,Sep,5,"Excellent mentorship program, I grew professionally a lot",4,Positive,1,Yes,1,3
INT-242,Intern_242,Male,Engineering,Karachi,Dec,20,Some aspects were good but overall it was just average,3,Neutral,1,Yes,5,1
INT-243,Intern_243,Female,Marketing,Islamabad,Oct,16,It was an average experience with some good and bad parts,3,Neutral,1,Yes,4,2
INT-244,Intern_244,Female,Design,Islamabad,Nov,7,Very disorganized internship program with no clear structure,1,Negative,0,Yes,2,1
INT-245,Intern_245,Female,Finance,Faisalabad,Feb,14,I appreciate how inclusive and diverse the workplace was,4,Positive,1,Yes,1,5
INT-246,Intern_246,Female,Design,Multan,Jun,10,Communication gaps between teams made work very difficult,1,Negative,0,Yes,3,4
INT-247,Intern_247,Male,Sales,Multan,Dec,15,The internship helped me clarify my career goals clearly,5,Positive,1,Yes,2,4
INT-248,Intern_248,Male,Engineering,Karachi,Jul,13,"The internship was okay, nothing extraordinary to mention",3,Neutral,1,No,3,1
INT-249,Intern_249,Male,Marketing,Karachi,Dec,10,It was an average experience with some good and bad parts,3,Neutral,0,Yes,4,3
INT-250,Intern_250,Male,Finance,Peshawar,Sep,16,"I really enjoyed working here, the team was very supportive and helpful",4,Positive,1,Yes,5,2
INT-251,Intern_251,Female,Engineering,Faisalabad,Mar,10,I loved the collaborative culture and friendly team members,5,Positive,1,No,2,4
INT-252,Intern_252,Female,Design,Multan,Oct,20,"The experience was mixed, some mentors were good some not",3,Neutral,1,No,2,5
INT-253,Intern_253,Male,Engineering,Lahore,Mar,13,"The experience was mixed, some mentors were good some not",3,Neutral,0,No,4,5
INT-254,Intern_254,Male,Marketing,Islamabad,Jul,13,Very poor work culture and no respect for intern opinions,1,Negative,0,Yes,1,3
INT-255,Intern_255,Female,Operations,Karachi,Apr,7,The working hours were too long with no overtime compensation,1,Negative,0,Sometimes,5,4
INT-256,Intern_256,Male,Engineering,Islamabad,Aug,23,I felt valued and appreciated throughout my internship,5,Positive,1,Sometimes,2,1
INT-257,Intern_257,Female,Sales,Islamabad,Jul,7,The onboarding process was smooth and well organized,4,Positive,1,No,5,5
INT-258,Intern_258,Male,Engineering,Peshawar,May,10,"I really enjoyed working here, the team was very supportive and helpful",4,Positive,1,Sometimes,2,3
INT-259,Intern_259,Male,Design,Multan,Jul,4,"Poor communication from management, always confused about tasks",2,Negative,0,No,5,4
INT-260,Intern_260,Male,Design,Karachi,Mar,15,Very good work life balance and flexible working hours,5,Positive,1,Yes,3,4
INT-261,Intern_261,Male,Finance,Islamabad,Dec,16,The projects had no real impact and felt like busy work,2,Negative,0,Sometimes,2,4
INT-262,Intern_262,Male,Design,Karachi,Feb,13,It was an average experience with some good and bad parts,3,Neutral,1,Yes,5,4
INT-263,Intern_263,Male,HR,Lahore,Jun,18,It was a learning experience but could have been better,3,Neutral,0,Sometimes,1,4
INT-264,Intern_264,Male,Marketing,Peshawar,Feb,16,The environment was okay but nothing particularly special,3,Neutral,1,Yes,3,5
INT-265,Intern_265,Female,Marketing,Lahore,Mar,12,Communication gaps between teams made work very difficult,1,Negative,0,Sometimes,3,3
INT-266,Intern_266,Female,Operations,Karachi,Jun,12,Very poor work culture and no respect for intern opinions,2,Negative,0,Yes,1,4
INT-267,Intern_267,Female,Operations,Karachi,May,18,The working hours were too long with no overtime compensation,1,Negative,0,Yes,5,2
INT-268,Intern_268,Female,Marketing,Multan,Aug,13,"Great learning experience, mentors were always available to guide us",5,Positive,1,Sometimes,4,2
INT-269,Intern_269,Female,Sales,Islamabad,Sep,13,Lack of resources and tools made it hard to complete tasks,2,Negative,0,Yes,1,3
INT-270,Intern_270,Male,Operations,Islamabad,Nov,11,The working hours were too long with no overtime compensation,1,Negative,0,Yes,5,1
INT-271,Intern_271,Male,Finance,Lahore,Mar,19,Overall disappointing experience with no career growth,2,Negative,0,Yes,1,1
INT-272,Intern_272,Female,Design,Peshawar,Dec,20,Communication gaps between teams made work very difficult,2,Negative,0,Sometimes,1,1
INT-273,Intern_273,Male,Marketing,Faisalabad,Oct,8,"Best internship experience, would highly recommend to others",4,Positive,1,Sometimes,2,2
INT-274,Intern_274,Female,Operations,Islamabad,Mar,7,The workload was too heavy with no proper support provided,2,Negative,0,Yes,5,1
INT-275,Intern_275,Female,Marketing,Multan,Mar,21,Some aspects were good but overall it was just average,3,Neutral,1,Yes,4,5
INT-276,Intern_276,Male,HR,Lahore,Jun,22,I would not recommend this internship to anyone honestly,2,Negative,0,Sometimes,2,4
INT-277,Intern_277,Male,Engineering,Lahore,Jan,7,I loved the collaborative culture and friendly team members,4,Positive,1,Sometimes,1,2
INT-278,Intern_278,Male,Design,Faisalabad,Jul,10,The management was very understanding and always supportive,4,Positive,1,Yes,1,3
INT-279,Intern_279,Female,Marketing,Multan,Dec,13,I improved my communication and technical skills greatly,4,Positive,1,Yes,1,3
INT-280,Intern_280,Male,Engineering,Peshawar,Jan,21,Learned a lot about industry practices and real workflows,5,Positive,1,Yes,5,4
INT-281,Intern_281,Female,Operations,Multan,May,22,I appreciate how inclusive and diverse the workplace was,5,Positive,1,No,5,2
INT-282,Intern_282,Female,Engineering,Peshawar,Oct,7,I did not receive any feedback on my work performance,2,Negative,0,Sometimes,2,1
INT-283,Intern_283,Female,Design,Multan,Aug,13,"Amazing environment, I learned so much during my internship",5,Positive,1,No,4,1
INT-284,Intern_284,Male,Marketing,Multan,Apr,4,Lack of resources and tools made it hard to complete tasks,1,Negative,0,Sometimes,2,5
INT-285,Intern_285,Male,HR,Karachi,May,21,I improved my communication and technical skills greatly,4,Positive,1,Sometimes,3,5
INT-286,Intern_286,Female,Sales,Lahore,Apr,8,"Best internship experience, would highly recommend to others",4,Positive,1,Sometimes,1,1
INT-287,Intern_287,Male,Operations,Multan,Dec,18,I loved the collaborative culture and friendly team members,4,Positive,1,Sometimes,1,3
INT-288,Intern_288,Male,Marketing,Faisalabad,Dec,20,The management did not care about intern development at all,2,Negative,0,Sometimes,1,3
INT-289,Intern_289,Male,Design,Multan,Apr,6,"The internship was okay, nothing extraordinary to mention",3,Neutral,1,Sometimes,2,5
INT-290,Intern_290,Female,Operations,Islamabad,Dec,15,Very unprofessional behavior from some senior employees,1,Negative,0,Sometimes,2,4
INT-291,Intern_291,Female,Finance,Lahore,Aug,5,The internship helped me clarify my career goals clearly,4,Positive,1,No,1,1
INT-292,Intern_292,Male,Engineering,Islamabad,Feb,4,Communication gaps between teams made work very difficult,2,Negative,0,Yes,2,5
INT-293,Intern_293,Female,Sales,Lahore,Jan,20,"The internship was okay, nothing extraordinary to mention",3,Neutral,1,Yes,5,5
INT-294,Intern_294,Male,Design,Islamabad,Mar,19,"I really enjoyed working here, the team was very supportive and helpful",5,Positive,1,No,5,1
INT-295,Intern_295,Male,Finance,Multan,Sep,8,I would not recommend this internship to anyone honestly,1,Negative,0,No,2,1
INT-296,Intern_296,Male,Marketing,Multan,Apr,18,Management was rude and dismissive towards intern concerns,2,Negative,0,No,1,3
INT-297,Intern_297,Male,HR,Karachi,Oct,6,Learned a lot about industry practices and real workflows,5,Positive,1,No,2,4
INT-298,Intern_298,Female,Operations,Faisalabad,May,10,Very unprofessional behavior from some senior employees,2,Negative,0,Sometimes,2,4
INT-299,Intern_299,Female,Engineering,Islamabad,Feb,14,My contributions were recognized which was very motivating,4,Positive,1,Yes,2,1
INT-300,Intern_300,Female,Operations,Peshawar,Apr,13,Communication gaps between teams made work very difficult,1,Negative,0,Sometimes,3,2
